FECHA (YYMMDD);HORA (HHMM);;
250715;0600;5,12251;
250715;0700;5,33009;
250715;0800;5,53193;
250715;0900;6,12775;
250715;1000;6,61892;
250715;1100;7,09575;
250715;1200;7,33783;
250715;1300;8,11458;
250715;1400;8,83583;
250715;1500;9,41833;
250715;1600;9,95667;
250715;1700;9,74834;
250715;1800;7,89359;
250715;1900;6,42917;
250715;2000;5,72675;
250715;2100;5,19617;
250715;2200;4,13083;
250715;2300;3,68383;
250716;0000;4,58676;
250716;0100;5,41626;
250716;0200;5,92434;
250716;0300;5,87959;
250716;0400;5,14509;
250716;0500;4,00901;
250716;0600;3,19183;
250716;0700;2,53442;
250716;0800;2,20958;
250716;0900;5,00067;
250716;1000;6,16433;
250716;1100;8,73367;
250716;1200;10,5758;
250716;1300;11,7783;
250716;1400;13,235;
250716;1500;14,3075;
250716;1600;14,1225;
250716;1700;12,6083;
250716;1800;11,5075;
250716;1900;10,7675;
250716;2000;9,78999;
250716;2100;8,21217;
250716;2200;6,29958;
250716;2300;6,55625;
250717;0000;5,27183;
250717;0100;4,94958;
250717;0200;4,63725;
250717;0300;4,22533;
250717;0400;4,14525;
250717;0500;4,31233;
250717;0600;3,58867;
250717;0700;3,8955;
250717;0800;5,44367;
250717;0900;7,34558;
250717;1000;9,61917;
250717;1100;11,3333;
250717;1200;13,5358;
250717;1300;15,4225;
250717;1400;16,9717;
250717;1500;18,2083;
250717;1600;18,3167;
250717;1700;17,05;
250717;1800;14,3033;
250717;1900;13,1567;
250717;2000;10,9483;
250717;2100;9,45917;
250717;2200;8,45067;
250717;2300;7,32767;
250718;0000;6,07775;
250718;0100;6,10617;
250718;0200;5,94083;
250718;0300;5,80183;
250718;0400;4,81933;
250718;0500;3,86133;
250718;0600;3,17458;
250718;0700;2,9355;
250718;0800;5,58925;
250718;0900;7,716;
250718;1000;9,75751;
250718;1100;11,6167;
250718;1200;13,28;
250718;1300;14,4358;
250718;1400;15,1842;
250718;1500;15,6308;
250718;1600;15,7358;
250718;1700;14,4;
250718;1800;12,1075;
250718;1900;10,2908;
250718;2000;8,76917;
250718;2100;7,8045;
250718;2200;7,86567;
250718;2300;6,87683;
250719;0000;5,32075;
250719;0100;4,64425;
250719;0200;4,38909;
250719;0300;3,48367;
250719;0400;3,66433;
250719;0500;4,09975;
250719;0600;4,68925;
250719;0700;4,94058;
250719;0800;4,94742;
250719;0900;5,83258;
250719;1000;7,0205;
250719;1100;9,25426;
250719;1200;12,0058;
250719;1300;13,6558;
250719;1400;14,58;
250719;1500;14,1058;
250719;1600;14,1817;
250719;1700;13,7025;
250719;1800;12,0225;
250719;1900;10,9858;
250719;2000;10,0283;
250719;2100;9,485;
250719;2200;8,93333;
250719;2300;7,98292;
250720;0000;7,29692;
250720;0100;7,10283;
250720;0200;7,13217;
250720;0300;6,27625;
250720;0400;6,00326;
250720;0500;6,20918;
250720;0600;6,09351;
250720;0700;6,33984;
250720;0800;6,61359;
250720;0900;8,3365;
250720;1000;9,9375;
250720;1100;11,4325;
250720;1200;12,4667;
250720;1300;13,9108;
250720;1400;15,305;
250720;1500;15,6917;
250720;1600;15,4792;
250720;1700;14,5108;
250720;1800;12,5417;
250720;1900;11,4475;
250720;2000;10,6967;
250720;2100;10,0275;
250720;2200;9,83417;
250720;2300;9,43085;
250721;0000;8,69501;
250721;0100;8,09074;
250721;0200;7,78575;
250721;0300;7,46508;
250721;0400;6,5535;
250721;0500;6,55475;
250721;0600;7,15283;
250721;0700;6,62558;
250721;0800;6,32775;
250721;0900;6,27275;
250721;1000;6,93583;
250721;1100;8,29483;
250721;1200;12,055;
250721;1300;15,7733;
250721;1400;17,6367;
250721;1500;18,2367;
250721;1600;18,2717;
250721;1700;17,5367;
250721;1800;14,1775;
250721;1900;12,29;
250721;2000;11,0675;
250721;2100;10,0125;
250721;2200;9,31667;
250721;2300;8,68085;
250722;0000;8,16942;
250722;0100;7,41242;
250722;0200;6,57583;
250722;0300;7,03492;
250722;0400;8,25359;
250722;0500;9,34917;
250722;0600;10,4433;
250722;0700;10,7008;
250722;0800;10,6625;
250722;0900;10,6275;
250722;1000;11,005;
250722;1100;11,4167;
250722;1200;11,63;
250722;1300;12,5317;
250722;1400;13,6592;
250722;1500;13,5033;
250722;1600;13,895;
250722;1700;13,1975;
250722;1800;11,135;
250722;1900;9,41917;
250722;2000;8,09892;
250722;2100;7,38125;
250722;2200;6,44683;
250722;2300;5,97433;
250723;0000;5,57975;
250723;0100;5,17433;
250723;0200;5,03467;
250723;0300;4,67508;
250723;0400;4,8145;
250723;0500;4,62308;
250723;0600;4,26208;
250723;0700;5,44183;
250723;0800;5,76833;
250723;0900;5,83125;
250723;1000;6,34417;
250723;1100;6,79633;
250723;1200;8,11368;
250723;1300;10,0842;
250723;1400;11,7158;
250723;1500;12,8533;
250723;1600;14,0933;
250723;1700;13,3083;
250723;1800;10,4183;
250723;1900;9,25667;
250723;2000;8,40916;
250723;2100;8,15459;
