FECHA (YYMMDD);HORA (HHMM);;
250717;1900;49,2933;
250717;2000;57,745;
250717;2100;65,0042;
250717;2200;70,955;
250717;2300;82,9742;
250718;0000;91,1083;
250718;0100;82,5017;
250718;0200;75,9933;
250718;0300;71,975;
250718;0400;76,7509;
250718;0500;82,2909;
250718;0600;86,7167;
250718;0700;90,1418;
250718;0800;79,4559;
250718;0900;77,37;
250718;1000;75,085;
250718;1100;70,1008;
250718;1200;65,17;
250718;1300;62,4808;
250718;1400;57,6743;
250718;1500;57,6968;
250718;1600;57,1075;
250718;1700;61,9233;
250718;1800;68,7325;
250718;1900;77,0408;
250718;2000;82,9917;
250718;2100;87,1333;
250718;2200;88,1417;
250718;2300;92,475;
250719;0000;99,6833;
250719;0100;99,9917;
250719;0200;99,9833;
250719;0300;99,975;
250719;0400;99,95;
250719;0500;99,9728;
250719;0600;99,9917;
250719;0700;100;
250719;0800;99,975;
250719;0900;100;
250719;1000;99,9891;
250719;1100;95,7167;
250719;1200;77,28;
250719;1300;70,2742;
250719;1400;67,76;
250719;1500;71,2942;
250719;1600;74,5468;
250719;1700;78,0608;
250719;1800;86,5667;
250719;1900;92,65;
250719;2000;96,05;
250719;2100;98,2917;
250719;2200;99,975;
250719;2300;100;
250720;0000;99,9917;
250720;0100;100;
250720;0200;99,9917;
250720;0300;100;
250720;0400;99,9751;
250720;0500;100;
250720;0600;100;
250720;0700;100;
250720;0800;100;
250720;0900;98,5917;
250720;1000;87,9;
250720;1100;79,2017;
250720;1200;73,9532;
250720;1300;67,9492;
250720;1400;62,1867;
250720;1500;61,2483;
250720;1600;63,1442;
250720;1700;68,9558;
250720;1800;79,7258;
250720;1900;87,35;
250720;2000;91,4333;
250720;2100;95,0083;
250720;2200;96,9333;
250720;2300;98,6;
250721;0000;99,95;
250721;0100;99,9917;
250721;0200;100;
250721;0300;100;
250721;0400;99,9833;
250721;0500;99,9802;
250721;0600;99,975;
250721;0700;99,9833;
250721;0800;99,975;
250721;0900;99,9802;
250721;1000;99,9901;
250721;1100;100;
250721;1200;86,9017;
250721;1300;65,8342;
250721;1400;57,6155;
250721;1500;55,8458;
250721;1600;55,0492;
250721;1700;58,5967;
250721;1800;73,71;
250721;1900;83,4667;
250721;2000;89,1417;
250721;2100;93,4167;
250721;2200;97,3416;
250721;2300;99,9917;
250722;0000;99,9917;
250722;0100;100;
250722;0200;99,9833;
250722;0300;99,9667;
250722;0400;100;
250722;0500;100;
250722;0600;100;
250722;0700;100;
250722;0800;99,9911;
250722;0900;98,3833;
250722;1000;91,3917;
250722;1100;88,025;
250722;1200;84,1083;
250722;1300;76,6575;
250722;1400;70,6383;
250722;1500;69,6383;
250722;1600;69,0642;
250722;1700;72,8018;
250722;1800;83,2416;
250722;1900;91,35;
250722;2000;97,3;
250722;2100;99,9833;
250722;2200;99,9917;
250722;2300;99,9917;
250723;0000;99,975;
250723;0100;99,9917;
250723;0200;99,9833;
250723;0300;100;
250723;0400;99,9917;
250723;0500;100;
250723;0600;99,9833;
250723;0700;99,9917;
250723;0800;99,9833;
250723;0900;99,991;
250723;1000;99,9901;
250723;1100;100;
250723;1200;99,6833;
250723;1300;87,5334;
250723;1400;80,3984;
250723;1500;78,0692;
250723;1600;74,3392;
250723;1700;78,9417;
250723;1800;92,7833;
250723;1900;98,7417;
250723;2000;99,775;
250723;2100;100;
250723;2200;99,9917;
250723;2300;99,9833;
250724;0000;99,9833;
250724;0100;100;
250724;0200;99,9917;
250724;0300;99,9917;
250724;0400;99,9917;
250724;0500;100;
250724;0600;99,975;
250724;0700;99,9833;
250724;0800;99,9917;
250724;0900;95,3167;
250724;1000;78,5125;
250724;1100;71,9733;
250724;1200;67,3175;
250724;1300;66,8693;
250724;1400;62,3683;
250724;1500;59,1542;
250724;1600;61,3292;
250724;1700;69,2433;
250724;1800;75,8075;
250724;1900;77,1818;
250724;2000;88,2075;
250724;2100;99,925;
250724;2200;99,975;
250724;2300;99,9833;
250725;0000;99,975;
250725;0100;99,9917;
250725;0200;99,9833;
250725;0300;100;
250725;0400;99,975;
250725;0500;99,9728;
250725;0600;99,9917;
250725;0700;99,9917;
250725;0800;99,9833;
250725;0900;100;
250725;1000;96,2;
250725;1100;85,5383;
250725;1200;73,2151;
250725;1300;66,6167;
250725;1400;62,9617;
250725;1500;60,5042;
250725;1600;60,6042;
250725;1700;63,85;
250725;1800;71,6725;
250725;1900;81,9467;
250725;2000;87,1334;
250725;2100;93,9917;
250725;2200;98,55;
250725;2300;100;
250726;0000;99,9833;
250726;0100;100;
250726;0200;100;
250726;0300;99,9917;
250726;0400;100;
250726;0500;99,991;
250726;0600;99,9917;
250726;0700;99,9833;
250726;0800;99,9917;
250726;0900;100;
250726;1000;99,989;
250726;1100;98,2083;
250726;1200;85,0833;
250726;1300;78,1517;
250726;1400;79,2242;
250726;1500;76,7908;
250726;1600;78,0375;
250726;1700;81,2968;
250726;1800;88,0667;
250726;1900;86,8833;
250726;2000;84,3068;
250726;2100;86,425;
250726;2200;88,6;
250726;2300;93,6417;
250727;0000;96,5833;
250727;0100;99,3167;
250727;0200;99,125;
250727;0300;99,9167;
250727;0400;95,7917;
250727;0500;93,4917;
250727;0600;99,5583;
250727;0700;99,8333;
250727;0800;100;
250727;0900;85,0699;
250727;1000;70,6117;
250727;1100;67,0975;
250727;1200;65,1866;
250727;1300;68,6833;
250727;1400;70,9858;
250727;1500;69,6417;
250727;1600;71,5092;
250727;1700;73,1384;
