FECHA (YYMMDD);HORA (HHMM);;
250716;0000;240,249;
250716;0100;239,262;
250716;0200;232,074;
250716;0300;184,862;
250716;0400;184,07;
250716;0500;187,495;
250716;0600;220,627;
250716;0700;182,157;
250716;0800;209,15;
250716;0900;190,62;
250716;1000;178,358;
250716;1100;196,919;
250716;1200;205,683;
250716;1300;186,344;
250716;1400;193,883;
250716;1500;201,532;
250716;1600;195,037;
250716;1700;205,288;
250716;1800;222,077;
250716;1900;225,791;
250716;2000;219,345;
250716;2100;200,368;
250716;2200;112,165;
250716;2300;145,072;
250717;0000;121,233;
250717;0100;46,8063;
250717;0200;32,2137;
250717;0300;56,397;
250717;0400;28,2692;
250717;0500;182,344;
250717;0600;55,0467;
250717;0700;210,042;
250717;0800;178,031;
250717;0900;179,712;
250717;1000;176,922;
250717;1100;170,276;
250717;1200;179,276;
250717;1300;186,598;
250717;1400;175,753;
250717;1500;178,123;
250717;1600;176,669;
250717;1700;184,015;
250717;1800;253,727;
250717;1900;248,284;
250717;2000;219,02;
250717;2100;68,446;
250717;2200;47,0094;
250717;2300;32,4423;
250718;0000;21,143;
250718;0100;315,523;
250718;0200;338,052;
250718;0300;247,722;
250718;0400;260,167;
250718;0500;358,768;
250718;0600;144,925;
250718;0700;81,3663;
250718;0800;179,496;
250718;0900;183,664;
250718;1000;169,437;
250718;1100;188,467;
250718;1200;191,304;
250718;1300;187,661;
250718;1400;191,243;
250718;1500;171,931;
250718;1600;180,839;
250718;1700;167,478;
250718;1800;196,346;
250718;1900;278,179;
250718;2000;270,145;
250718;2100;232,573;
250718;2200;173,981;
250718;2300;201,971;
250719;0000;135,848;
250719;0100;35,2447;
250719;0200;42,9813;
250719;0300;111,67;
250719;0400;25,5457;
250719;0500;42,9643;
250719;0600;36,1921;
250719;0700;199,684;
250719;0800;166,171;
250719;0900;316,681;
250719;1000;184,541;
250719;1100;148,096;
250719;1200;165,934;
250719;1300;187,432;
250719;1400;181,547;
250719;1500;176,238;
250719;1600;192,955;
250719;1700;153,285;
250719;1800;18,3084;
250719;1900;72,4777;
250719;2000;57,2227;
250719;2100;67,2162;
250719;2200;59,511;
250719;2300;22,3028;
250720;0000;38,9503;
250720;0100;34,5937;
250720;0200;47,9759;
250720;0300;42,885;
250720;0400;21,7542;
250720;0500;28,7878;
250720;0600;103,784;
250720;0700;42,9158;
250720;0800;315,56;
250720;0900;154,37;
250720;1000;156,673;
250720;1100;152,263;
250720;1200;10,9667;
250720;1300;56,3217;
250720;1400;48,6607;
250720;1500;209,507;
250720;1600;151,189;
250720;1700;126,051;
250720;1800;174,919;
250720;1900;336,914;
250720;2000;33,0244;
250720;2100;315,243;
250720;2200;199,691;
250720;2300;115,301;
250721;0000;23,979;
250721;0100;23,5616;
250721;0200;218,139;
250721;0300;204,658;
250721;0400;71,9751;
250721;0500;72,5311;
250721;0600;75,7988;
250721;0700;153,666;
250721;0800;148,156;
250721;0900;218,527;
250721;1000;128,78;
250721;1100;6,22148;
250721;1200;262,647;
250721;1300;258,234;
250721;1400;216,424;
250721;1500;173,22;
250721;1600;122,183;
250721;1700;105,704;
250721;1800;358,751;
250721;1900;248,345;
250721;2000;152,092;
250721;2100;46,6931;
250721;2200;358,427;
250721;2300;32,9488;
250722;0000;87,0188;
250722;0100;60,8187;
250722;0200;161,762;
250722;0300;357,572;
250722;0400;353,932;
250722;0500;251,116;
250722;0600;223,271;
250722;0700;192,261;
250722;0800;206,184;
250722;0900;186,551;
250722;1000;190,636;
250722;1100;185,289;
250722;1200;161,68;
250722;1300;148,013;
250722;1400;132,22;
250722;1500;149,584;
250722;1600;96,5583;
250722;1700;72,3589;
250722;1800;30,9527;
250722;1900;163,644;
250722;2000;31,8938;
250722;2100;20,7646;
250722;2200;61,1104;
250722;2300;37,1973;
250723;0000;13,6844;
250723;0100;35,4136;
250723;0200;28,9959;
250723;0300;17,509;
250723;0400;279,484;
250723;0500;129,436;
250723;0600;24,2052;
250723;0700;12,7977;
250723;0800;241,374;
250723;0900;303,801;
250723;1000;22,7761;
250723;1100;27,0029;
250723;1200;27,0856;
250723;1300;25,2355;
250723;1400;27,0938;
250723;1500;18,3955;
250723;1600;14,3956;
250723;1700;296,8;
250723;1800;284,559;
250723;1900;239,35;
250723;2000;197,759;
250723;2100;29,2312;
250723;2200;316,016;
250723;2300;169,87;
250724;0000;47,7796;
250724;0100;338,564;
250724;0200;244,767;
250724;0300;71,4146;
250724;0400;44,3279;
250724;0500;264,467;
250724;0600;142,732;
250724;0700;215,902;
250724;0800;264,369;
250724;0900;22,6239;
250724;1000;28,3162;
250724;1100;8,90816;
250724;1200;28,887;
250724;1300;36,5505;
250724;1400;30,8988;
250724;1500;21,2956;
250724;1600;20,8003;
250724;1700;355,503;
250724;1800;356,362;
250724;1900;357,615;
250724;2000;30,7539;
250724;2100;47,2806;
250724;2200;51,9198;
250724;2300;49,178;
250725;0000;46,3694;
250725;0100;43,1087;
250725;0200;50,8525;
250725;0300;50,9804;
250725;0400;41,4055;
250725;0500;41,9179;
250725;0600;34,153;
250725;0700;44,0774;
250725;0800;50,1583;
250725;0900;21,6097;
250725;1000;40,7591;
250725;1100;16,6311;
250725;1200;13,8706;
250725;1300;3,91366;
250725;1400;2,61293;
250725;1500;28,626;
250725;1600;1,25435;
250725;1700;320,836;
250725;1800;278,409;
250725;1900;246,357;
250725;2000;245,677;
250725;2100;0,196457;
250725;2200;161,195;
250725;2300;243,661;
250726;0000;231,371;
250726;0100;177,609;
250726;0200;343,408;
250726;0300;100,339;
250726;0400;32,5868;
250726;0500;53,4518;
250726;0600;193,334;
250726;0700;238,077;
250726;0800;87,4225;
250726;0900;26,2951;
250726;1000;10,3181;
250726;1100;8,26553;
250726;1200;25,8083;
250726;1300;22,495;
250726;1400;337,79;
250726;1500;35,3605;
250726;1600;17,9344;
250726;1700;348,623;
250726;1800;6,35661;
250726;1900;348,127;
250726;2000;331,25;
250726;2100;17,23;
250726;2200;46,5287;
250726;2300;75,1152;
250727;0000;83,9526;
250727;0100;8,77156;
250727;0200;59,7266;
250727;0300;25,3176;
250727;0400;32,0288;
250727;0500;48,0299;
250727;0600;81,9823;
250727;0700;23,7834;
250727;0800;333,839;
250727;0900;160,581;
250727;1000;30,4679;
250727;1100;27,6732;
250727;1200;358,903;
250727;1300;6,41937;
250727;1400;349,058;
250727;1500;22,9482;
250727;1600;0,983535;
250727;1700;18,0442;
250727;1800;20,3698;
250727;1900;47,6906;
250727;2000;61,8193;
250727;2100;359,553;
250727;2200;35,2851;
250727;2300;37,3674;
250728;0000;116,239;
250728;0100;43,0012;
250728;0200;43,7987;
250728;0300;47,5825;
250728;0400;57,9713;
250728;0500;24,1872;
250728;0600;346,106;
250728;0700;243,917;
250728;0800;83,5918;
250728;0900;29,1366;
250728;1000;44,6696;
250728;1100;143,521;
250728;1200;60,9278;
250728;1300;357,154;
