FECHA (YYMMDD);HORA (HHMM);;
250715;1600;1,22853;
250715;1700;0,595598;
250715;1800;0,315186;
250715;1900;0,192678;
250715;2000;0,431912;
250715;2100;0,446929;
250715;2200;0,0411802;
250715;2300;0,161505;
250716;0000;1,04147;
250716;0100;0,291216;
250716;0200;0,287741;
250716;0300;1,17798;
250716;0400;1,69058;
250716;0500;1,45659;
250716;0600;0,89043;
250716;0700;0,842636;
250716;0800;0,754644;
250716;0900;2,39098;
250716;1000;1,88678;
250716;1100;2,26963;
250716;1200;3,18881;
250716;1300;3,22418;
250716;1400;2,47307;
250716;1500;3,24166;
250716;1600;2,93737;
250716;1700;1,66284;
250716;1800;1,73666;
250716;1900;1,58772;
250716;2000;0,897672;
250716;2100;0,589718;
250716;2200;0,13282;
250716;2300;0,381368;
250717;0000;0,735826;
250717;0100;0,76281;
250717;0200;1,14704;
250717;0300;0,768868;
250717;0400;0,77875;
250717;0500;0,481991;
250717;0600;0,356974;
250717;0700;0,177279;
250717;0800;0,281769;
250717;0900;1,6907;
250717;1000;1,36735;
250717;1100;1,66349;
250717;1200;1,5625;
250717;1300;1,74665;
250717;1400;2,14664;
250717;1500;2,24454;
250717;1600;2,12734;
250717;1700;1,09065;
250717;1800;0,72677;
250717;1900;0,733187;
250717;2000;0,786305;
250717;2100;0,653942;
250717;2200;1,04851;
250717;2300;0,651655;
250718;0000;0,632901;
250718;0100;0,200523;
250718;0200;0,325429;
250718;0300;0,396061;
250718;0400;0,381461;
250718;0500;0,197915;
250718;0600;0,217863;
250718;0700;0,198901;
250718;0800;0,828297;
250718;0900;0,834176;
250718;1000;0,975246;
250718;1100;1,52907;
250718;1200;1,58291;
250718;1300;2,34843;
250718;1400;2,48125;
250718;1500;1,58468;
250718;1600;1,92375;
250718;1700;1,93646;
250718;1800;0,845463;
250718;1900;0,347716;
250718;2000;0,500439;
250718;2100;0,659826;
250718;2200;0,907993;
250718;2300;0,060824;
250719;0000;0,0815932;
250719;0100;0,47278;
250719;0200;0,701878;
250719;0300;0,554144;
250719;0400;0,673539;
250719;0500;0,516824;
250719;0600;0,577769;
250719;0700;0,220284;
250719;0800;0,393665;
250719;0900;0,403728;
250719;1000;0,598457;
250719;1100;0,639038;
250719;1200;0,957713;
250719;1300;1,11169;
250719;1400;1,80202;
250719;1500;1,92482;
250719;1600;1,19571;
250719;1700;0,547209;
250719;1800;0,294872;
250719;1900;0,395723;
250719;2000;0,478827;
250719;2100;0,417084;
250719;2200;0,371569;
250719;2300;0,401639;
250720;0000;0,821264;
250720;0100;0,670481;
250720;0200;0,642279;
250720;0300;0,461219;
250720;0400;0,705117;
250720;0500;0,455773;
250720;0600;0,327034;
250720;0700;0,669683;
250720;0800;0,384713;
250720;0900;0,217119;
250720;1000;1,51674;
250720;1100;0,641225;
250720;1200;0,619711;
250720;1300;0,797747;
250720;1400;0,412222;
250720;1500;0,0767716;
250720;1600;0,684145;
250720;1700;0,698579;
250720;1800;0,604466;
250720;1900;0,196446;
250720;2000;0,0913672;
250720;2100;0,163404;
250720;2200;0,324033;
250720;2300;0,387841;
250721;0000;0,709852;
250721;0100;0,562139;
250721;0200;0,120513;
250721;0300;0,639591;
250721;0400;0,548373;
250721;0500;0,636778;
250721;0600;0,580291;
250721;0700;0,407442;
250721;0800;0,429305;
250721;0900;0,573148;
250721;1000;0,0366822;
250721;1100;0,132395;
250721;1200;0,402356;
250721;1300;0,668539;
250721;1400;1,02839;
250721;1500;0,915531;
250721;1600;0,806139;
250721;1700;0,413682;
250721;1800;0,210572;
250721;1900;0,250885;
250721;2000;0,266669;
250721;2100;0,358885;
250721;2200;0,202194;
250721;2300;0,207107;
250722;0000;0,27138;
250722;0100;0,231565;
250722;0200;0,13136;
250722;0300;0,51447;
250722;0400;0,228993;
250722;0500;0,585048;
250722;0600;1,01535;
250722;0700;1,30621;
250722;0800;1,54636;
250722;0900;1,68568;
250722;1000;1,98415;
250722;1100;2,02113;
250722;1200;2,23755;
250722;1300;1,48987;
250722;1400;1,30803;
250722;1500;0,71523;
250722;1600;0,958215;
250722;1700;1,38041;
250722;1800;0,533548;
250722;1900;0,26239;
250722;2000;0,517658;
250722;2100;0,490129;
250722;2200;0,204984;
250722;2300;0,29689;
250723;0000;0,461404;
250723;0100;0,690745;
250723;0200;0,629788;
250723;0300;0,695907;
250723;0400;0,165646;
250723;0500;0,345594;
250723;0600;0,81406;
250723;0700;0,452383;
250723;0800;0,436078;
250723;0900;0,533066;
250723;1000;0,876737;
250723;1100;0,536536;
250723;1200;0,507087;
250723;1300;0,958614;
250723;1400;1,39853;
250723;1500;1,53701;
250723;1600;0,741958;
250723;1700;0,508024;
250723;1800;0,245264;
250723;1900;0,405538;
250723;2000;0,155248;
250723;2100;0,58781;
250723;2200;0,0879961;
250723;2300;0,396943;
250724;0000;0,683283;
250724;0100;0,292057;
250724;0200;0,218119;
250724;0300;1,2437;
250724;0400;0,643174;
250724;0500;0,133538;
250724;0600;0,564457;
250724;0700;0,152002;
250724;0800;0,252619;
250724;0900;1,16344;
250724;1000;2,06166;
250724;1100;2,37709;
250724;1200;1,45398;
250724;1300;2,68933;
250724;1400;3,88376;
250724;1500;3,3577;
250724;1600;2,94509;
250724;1700;3,40588;
250724;1800;2,6409;
250724;1900;2,5847;
250724;2000;1,80484;
250724;2100;1,88775;
250724;2200;2,51706;
250724;2300;2,78332;
250725;0000;2,90488;
250725;0100;2,27287;
250725;0200;2,62428;
250725;0300;2,21815;
250725;0400;1,9758;
250725;0500;1,66862;
250725;0600;1,44801;
250725;0700;1,11401;
