TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,20-07-2025
Start Time:,17:39:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,83
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:39:56
,Date of Minimum:,20-07-2025
,Maximum:,0.000
,Time of Maximum:,17:39:56
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
,Units:,mg/m^3
,Average:,0.241
,Minimum:,0.064
,Time of Minimum:,18:44:34
,Date of Minimum:,20-07-2025
,Maximum:,1.880
,Time of Maximum:,18:11:16
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
20-07-2025,18:00:38,0.217
20-07-2025,18:00:39,0.229
20-07-2025,18:00:40,0.235
20-07-2025,18:00:41,0.240
20-07-2025,18:00:42,0.244
20-07-2025,18:00:43,0.245
20-07-2025,18:00:44,0.255
20-07-2025,18:00:45,0.268
20-07-2025,18:00:46,0.253
20-07-2025,18:00:47,0.261
20-07-2025,18:00:48,0.271
20-07-2025,18:00:49,0.260
20-07-2025,18:00:50,0.246
20-07-2025,18:00:51,0.240
20-07-2025,18:00:52,0.235
20-07-2025,18:00:53,0.235
20-07-2025,18:00:54,0.233
20-07-2025,18:00:55,0.245
20-07-2025,18:00:56,0.244
20-07-2025,18:00:57,0.251
20-07-2025,18:00:58,0.265
20-07-2025,18:00:59,0.266
20-07-2025,18:01:00,0.266
20-07-2025,18:01:01,0.261
20-07-2025,18:01:02,0.252
20-07-2025,18:01:03,0.253
20-07-2025,18:01:04,0.254
20-07-2025,18:01:05,0.252
20-07-2025,18:01:06,0.254
20-07-2025,18:01:07,0.250
20-07-2025,18:01:08,0.248
20-07-2025,18:01:09,0.242
20-07-2025,18:01:10,0.247
20-07-2025,18:01:11,0.238
20-07-2025,18:01:12,0.242
20-07-2025,18:01:13,0.249
20-07-2025,18:01:14,0.246
20-07-2025,18:01:15,0.248
20-07-2025,18:01:16,0.247
20-07-2025,18:01:17,0.242
20-07-2025,18:01:18,0.251
20-07-2025,18:01:19,0.255
20-07-2025,18:01:20,0.255
20-07-2025,18:01:21,0.261
20-07-2025,18:01:22,0.268
20-07-2025,18:01:23,0.277
20-07-2025,18:01:24,0.337
20-07-2025,18:01:25,0.428
20-07-2025,18:01:26,0.376
20-07-2025,18:01:27,0.304
20-07-2025,18:01:28,0.289
20-07-2025,18:01:29,0.307
20-07-2025,18:01:30,0.313
20-07-2025,18:01:31,0.283
20-07-2025,18:01:32,0.274
20-07-2025,18:01:33,0.266
20-07-2025,18:01:34,0.275
20-07-2025,18:01:35,0.275
20-07-2025,18:01:36,0.265
20-07-2025,18:01:37,0.261
20-07-2025,18:01:38,0.252
20-07-2025,18:01:39,0.246
20-07-2025,18:01:40,0.258
20-07-2025,18:01:41,0.385
20-07-2025,18:01:42,0.530
20-07-2025,18:01:43,0.417
20-07-2025,18:01:44,0.348
20-07-2025,18:01:45,0.321
20-07-2025,18:01:46,0.347
20-07-2025,18:01:47,0.349
20-07-2025,18:01:48,0.313
20-07-2025,18:01:49,0.308
20-07-2025,18:01:50,0.319
20-07-2025,18:01:51,0.331
20-07-2025,18:01:52,0.323
20-07-2025,18:01:53,0.291
20-07-2025,18:01:54,0.268
20-07-2025,18:01:55,0.254
20-07-2025,18:01:56,0.246
20-07-2025,18:01:57,0.246
20-07-2025,18:01:58,0.237
20-07-2025,18:01:59,0.233
20-07-2025,18:02:00,0.238
20-07-2025,18:02:01,0.240
20-07-2025,18:02:02,0.235
20-07-2025,18:02:03,0.235
20-07-2025,18:02:04,0.232
20-07-2025,18:02:05,0.228
20-07-2025,18:02:06,0.232
20-07-2025,18:02:07,0.238
20-07-2025,18:02:08,0.237
20-07-2025,18:02:09,0.233
20-07-2025,18:02:10,0.226
20-07-2025,18:02:11,0.231
20-07-2025,18:02:12,0.240
20-07-2025,18:02:13,0.238
20-07-2025,18:02:14,0.241
20-07-2025,18:02:15,0.248
20-07-2025,18:02:16,0.247
20-07-2025,18:02:17,0.251
20-07-2025,18:02:18,0.245
20-07-2025,18:02:19,0.242
20-07-2025,18:02:20,0.239
20-07-2025,18:02:21,0.240
20-07-2025,18:02:22,0.244
20-07-2025,18:02:23,0.249
20-07-2025,18:02:24,0.260
20-07-2025,18:02:25,0.300
20-07-2025,18:02:26,0.321
20-07-2025,18:02:27,0.271
20-07-2025,18:02:28,0.241
20-07-2025,18:02:29,0.230
20-07-2025,18:02:30,0.236
20-07-2025,18:02:31,0.248
20-07-2025,18:02:32,0.244
20-07-2025,18:02:33,0.242
20-07-2025,18:02:34,0.244
20-07-2025,18:02:35,0.246
20-07-2025,18:02:36,0.249
20-07-2025,18:02:37,0.250
20-07-2025,18:02:38,0.246
20-07-2025,18:02:39,0.250
20-07-2025,18:02:40,0.263
20-07-2025,18:02:41,0.279
20-07-2025,18:02:42,0.276
20-07-2025,18:02:43,0.290
20-07-2025,18:02:44,0.312
20-07-2025,18:02:45,0.304
20-07-2025,18:02:46,0.297
20-07-2025,18:02:47,0.299
20-07-2025,18:02:48,0.306
20-07-2025,18:02:49,0.317
20-07-2025,18:02:50,0.304
20-07-2025,18:02:51,0.267
20-07-2025,18:02:52,0.251
20-07-2025,18:02:53,0.256
20-07-2025,18:02:54,0.281
20-07-2025,18:02:55,0.296
20-07-2025,18:02:56,0.295
20-07-2025,18:02:57,0.299
20-07-2025,18:02:58,0.284
20-07-2025,18:02:59,0.260
20-07-2025,18:03:00,0.227
20-07-2025,18:03:01,0.206
20-07-2025,18:03:02,0.215
20-07-2025,18:03:03,0.222
20-07-2025,18:03:04,0.207
20-07-2025,18:03:05,0.191
20-07-2025,18:03:06,0.189
20-07-2025,18:03:07,0.193
20-07-2025,18:03:08,0.196
20-07-2025,18:03:09,0.198
20-07-2025,18:03:10,0.211
20-07-2025,18:03:11,0.211
20-07-2025,18:03:12,0.214
20-07-2025,18:03:13,0.213
20-07-2025,18:03:14,0.207
20-07-2025,18:03:15,0.206
20-07-2025,18:03:16,0.213
20-07-2025,18:03:17,0.204
20-07-2025,18:03:18,0.194
20-07-2025,18:03:19,0.205
20-07-2025,18:03:20,0.218
20-07-2025,18:03:21,0.217
20-07-2025,18:03:22,0.209
20-07-2025,18:03:23,0.208
20-07-2025,18:03:24,0.212
20-07-2025,18:03:25,0.211
20-07-2025,18:03:26,0.215
20-07-2025,18:03:27,0.255
20-07-2025,18:03:28,0.260
20-07-2025,18:03:29,0.265
20-07-2025,18:03:30,0.276
20-07-2025,18:03:31,0.281
20-07-2025,18:03:32,0.312
20-07-2025,18:03:33,0.303
20-07-2025,18:03:34,0.313
20-07-2025,18:03:35,0.317
20-07-2025,18:03:36,0.311
20-07-2025,18:03:37,0.292
20-07-2025,18:03:38,0.276
20-07-2025,18:03:39,0.274
20-07-2025,18:03:40,0.283
20-07-2025,18:03:41,0.291
20-07-2025,18:03:42,0.278
20-07-2025,18:03:43,0.280
20-07-2025,18:03:44,0.273
20-07-2025,18:03:45,0.278
20-07-2025,18:03:46,0.277
20-07-2025,18:03:47,0.273
20-07-2025,18:03:48,0.276
20-07-2025,18:03:49,0.261
20-07-2025,18:03:50,0.274
20-07-2025,18:03:51,0.293
20-07-2025,18:03:52,0.294
20-07-2025,18:03:53,0.283
20-07-2025,18:03:54,0.261
20-07-2025,18:03:55,0.248
20-07-2025,18:03:56,0.241
20-07-2025,18:03:57,0.234
20-07-2025,18:03:58,0.232
20-07-2025,18:03:59,0.223
20-07-2025,18:04:00,0.219
20-07-2025,18:04:01,0.228
20-07-2025,18:04:02,0.221
20-07-2025,18:04:03,0.227
20-07-2025,18:04:04,0.230
20-07-2025,18:04:05,0.222
20-07-2025,18:04:06,0.219
20-07-2025,18:04:07,0.218
20-07-2025,18:04:08,0.224
20-07-2025,18:04:09,0.225
20-07-2025,18:04:10,0.219
20-07-2025,18:04:11,0.221
20-07-2025,18:04:12,0.207
20-07-2025,18:04:13,0.205
20-07-2025,18:04:14,0.208
20-07-2025,18:04:15,0.218
20-07-2025,18:04:16,0.229
20-07-2025,18:04:17,0.235
20-07-2025,18:04:18,0.236
20-07-2025,18:04:19,0.238
20-07-2025,18:04:20,0.234
20-07-2025,18:04:21,0.235
20-07-2025,18:04:22,0.244
20-07-2025,18:04:23,0.259
20-07-2025,18:04:24,0.268
